cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P60007168,C00678839,2020,37385.27,2,S,P60007168,C00678839,"SANDERS, BERNARD",INDIVISIBLE ACTION
P60007168,C00682203,2020,2575.87,3,S,P60007168,C00682203,"SANDERS, BERNARD",THE REALLY ONLINE LEFTY LEAGUE
P60007168,C00685693,2020,6352.20,19,S,P60007168,C00685693,"SANDERS, BERNARD",CASA IN ACTION PAC
P60007168,C00686477,2020,938.94,1,S,P60007168,C00686477,"SANDERS, BERNARD",NOSOTROS PAC
P60007168,C00707810,2020,2806.00,24,S,P60007168,C00707810,"SANDERS, BERNARD",OREGON PROGRESSIVE DELEGATES
P60007168,C00710848,2020,1400032.35,7,O,P60007168,C00710848,"SANDERS, BERNARD",DMFI PAC
P60007168,C00720029,2020,559.95,1,S,P60007168,C00720029,"SANDERS, BERNARD",EVERYDAY PEOPLE
P60007168,C00728352,2020,68596.60,104,S,P60007168,C00728352,"SANDERS, BERNARD",DREAM DEFENDERS FIGHT PAC
P60007168,C00731372,2020,747942.88,560,S,P60007168,C00731372,"SANDERS, BERNARD",VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION
P60007168,C00734616,2020,84.96,2,O,P60007168,C00734616,"SANDERS, BERNARD",RED WHITE AND DEFINITELY BLUE
P60007168,C00736009,2020,125250.00,4,S,P60007168,C00736009,"SANDERS, BERNARD",POPULAR DEMOCRACY PAC
P60007168,C00738039,2020,5634.21,5,S,P60007168,C00738039,"SANDERS, BERNARD",MIJENTE PAC
P60007168,C00738815,2020,61523.15,55,S,P60007168,C00738815,"SANDERS, BERNARD",TAKEACTION MN FEDERAL FUND
P60007168,C90013897,2020,2722.01,17,S,P60007168,C90013897,"SANDERS, BERNARD",IOWA CITIZENS FOR COMMUNITY IMPROVEMENT ACTION FUND
P60007168,C90015413,2020,82252.26,647,S,P60007168,C90015413,"SANDERS, BERNARD",DEMOCRATIC SOCIALISTS OF AMERICA INC.
P60007168,C90015637,2020,13820.82,34,S,P60007168,C90015637,"SANDERS, BERNARD",CHICAGO DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90016833,2020,54054.35,15,S,P60007168,C90016833,"SANDERS, BERNARD",PEOPLE'S ACTION
P60007168,C90017963,2020,13269.08,71,S,P60007168,C90017963,"SANDERS, BERNARD",TAKING TEXAS TO THE TOP
P60007168,C90018045,2020,1006.04,20,S,P60007168,C90018045,"SANDERS, BERNARD",UNITED WE DREAM ACTION
P60007168,C90018433,2020,8484.00,2,S,P60007168,C90018433,"SANDERS, BERNARD",ONE PEOPLE'S CAMPAIGN
P60007168,C90018672,2020,937.97,10,S,P60007168,C90018672,"SANDERS, BERNARD",PHOENIX DSA
P60007168,C90018714,2020,19170.02,64,S,P60007168,C90018714,"SANDERS, BERNARD",EAST BAY DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018722,2020,9573.99,56,S,P60007168,C90018722,"SANDERS, BERNARD",SEATTLE DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018789,2020,1395.85,13,S,P60007168,C90018789,"SANDERS, BERNARD",TWIN PORTS DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018805,2020,35.86,3,S,P60007168,C90018805,"SANDERS, BERNARD",DEMOCRATIC SOCIALISTS OF AMERICA VENTURA COUNTY
P60007168,C90018821,2020,251.43,2,S,P60007168,C90018821,"SANDERS, BERNARD",MIAMI DSA INC.
P60007168,C90018839,2020,8782.64,18,S,P60007168,C90018839,"SANDERS, BERNARD",PHILADELPHIA DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018839,2020,248.94,2,,P60007168,C90018839,"SANDERS, BERNARD",PHILADELPHIA DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018862,2020,3754.87,46,S,P60007168,C90018862,"SANDERS, BERNARD","MISLOVE, ALAN EDWARD"
P60007168,C90018870,2020,2098.54,35,S,P60007168,C90018870,"SANDERS, BERNARD","KOROLOVA, ALEKSANDRA"
P60007168,C90018953,2020,275.00,7,S,P60007168,C90018953,"SANDERS, BERNARD",NEW ORLEANS DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90018961,2020,2689.96,4,S,P60007168,C90018961,"SANDERS, BERNARD",MASSACHUSETTS DEMOCRATIC SOCIALISTS OF AMERICA SUPPORT NETWORK
P60007168,C90018995,2020,582.29,7,S,P60007168,C90018995,"SANDERS, BERNARD",PENINSULA DSA
P60007168,C90019001,2020,608.00,5,S,P60007168,C90019001,"SANDERS, BERNARD",MILWAUKEE DEMOCRATIC SOCIALISTS OF AMERICA INC.
P60007168,C90019019,2020,1174.61,4,S,P60007168,C90019019,"SANDERS, BERNARD",HOUSTON DEMOCRATIC SOCIALISTS OF AMERIC
P60007168,C90019027,2020,2190.40,2,S,P60007168,C90019027,"SANDERS, BERNARD",METRO DC DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90019035,2020,297.43,10,S,P60007168,C90019035,"SANDERS, BERNARD",SNOHOMISH COUNTY DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90019068,2020,2880.41,16,S,P60007168,C90019068,"SANDERS, BERNARD",METRO ATLANTA DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90019084,2020,200.00,3,S,P60007168,C90019084,"SANDERS, BERNARD",DEMOCRATIC SOCIALISTS OF AMERICA HARRISBURG ASSN
P60007168,C90019092,2020,25.63,1,S,P60007168,C90019092,"SANDERS, BERNARD","SACRAMENTO DEMOCRATIC SOCIALISTS OF AMERICA, PARKER ROBERT JR."
P60007168,C90019175,2020,4819713.56,11,O,P60007168,C90019175,"SANDERS, BERNARD",BIG TENT PROJECT FUND
P60007168,C90019183,2020,12058.19,220,S,P60007168,C90019183,"SANDERS, BERNARD",TEXAS ORGANIZING PROJECT
P60007168,C90019225,2020,4355.00,4,S,P60007168,C90019225,"SANDERS, BERNARD",JANE ADDAMS SENIORS IN ACTION
P60007168,C90019233,2020,3467.59,2,S,P60007168,C90019233,"SANDERS, BERNARD",MICHIGAN PEOPLE'S CAMPAIGN
P60007168,C90019266,2020,500.57,12,S,P60007168,C90019266,"SANDERS, BERNARD",PIONEER VALLEY DEMOCRATIC SOCIALISTS OF AMERICA
P60007168,C90019274,2020,977.26,7,S,P60007168,C90019274,"SANDERS, BERNARD",NC PIEDMONT DSA
P60017852,C00638106,2020,30.25,1,O,P60017852,C00638106,"ROBERTS, CLIFTON LEE MR.",THE HUMANE PARTY
P60017852,C00638106,2020,2.80,2,S,P60017852,C00638106,"ROBERTS, CLIFTON LEE MR.",THE HUMANE PARTY
P80000722,C00000885,2020,2500.00,1,S,P80000722,C00000885,"BIDEN, JOSEPH R JR",INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE
P80000722,C00000935,2020,186412.00,3,S,P80000722,C00000935,"BIDEN, JOSEPH R JR",DCCC
P80000722,C00002766,2020,4089.92,4,S,P80000722,C00002766,"BIDEN, JOSEPH R JR",UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB
P80000722,C00002840,2020,118752.84,5,S,P80000722,C00002840,"BIDEN, JOSEPH R JR",UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM)
P80000722,C00003590,2020,356.63,4,S,P80000722,C00003590,"BIDEN, JOSEPH R JR",UNITED STEELWORKERS POLITICAL ACTION FUND
P80000722,C00003632,2020,37182.22,9,S,P80000722,C00003632,"BIDEN, JOSEPH R JR",INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS
P80000722,C00004036,2020,5854621.47,96,S,P80000722,C00004036,"BIDEN, JOSEPH R JR",SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)
P80000722,C00007922,2020,526159.34,18,S,P80000722,C00007922,"BIDEN, JOSEPH R JR",LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC
P80000722,C00011114,2020,1335749.10,15,S,P80000722,C00011114,"BIDEN, JOSEPH R JR",AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E
P80000722,C00029447,2020,148750.37,14,S,P80000722,C00029447,"BIDEN, JOSEPH R JR",INTERNATIONAL ASSOCIATION OF FIREFIGHTERS INTERESTED IN REGISTRATION AND EDUCATION PAC
P80000722,C00032979,2020,21711.48,6,S,P80000722,C00032979,"BIDEN, JOSEPH R JR","D.R.I.V.E. - DEMOCRAT, REPUBLICAN, INDEPENDENT VOTER EDUCATION (THE PAC OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS)"
P80000722,C00032995,2020,12485.15,4,S,P80000722,C00032995,"BIDEN, JOSEPH R JR",AMALGAMATED TRANSIT UNION - COPE
